Año,Trimestre,Provincia,AccesoactualTel
2015,4,Misiones,3.431
2015,4,Neuquén,5.834
2015,4,Río Negro,6.247
2015,4,Salta,4.345
2015,4,San Juan,5.519
2015,4,San Luis,3.867
2015,4,Santa Cruz,5.485
2015,4,Santa Fe,7.073
2015,4,Santiago del Estero,2.962
2015,4,Tierra del Fuego,7.777
2015,4,Tucumán,5.387
2016,1,Buenos Aires,9.12
2016,1,Capital Federal,12.337
2016,1,Catamarca,3.805
2016,1,Chaco,3.316
2016,1,Chubut,6.967
2016,1,Córdoba,6.387
2016,1,Corrientes,3.597
2016,1,Entre Ríos,5.61
2016,1,Formosa,2.773
2016,1,Jujuy,3.007
2016,1,La Pampa,7.33
2016,1,La Rioja,3.823
2016,1,Mendoza,7.188
2016,1,Misiones,3.526
2016,1,Neuquén,5.466
2016,1,Río Negro,6.709
2016,1,Salta,4.275
2016,1,San Juan,6.016
2016,1,San Luis,3.911
2016,1,Santa Cruz,4.861
2016,1,Santa Fe,6.906
2016,1,Santiago del Estero,2.779
2016,1,Tierra del Fuego,8.469
2016,1,Tucumán,5.316
2016,2,Buenos Aires,9.158
2016,2,Capital Federal,12.127
2016,2,Catamarca,3.785
2016,2,Chaco,3.337
2016,2,Chubut,6.524
2016,2,Córdoba,6.375
2016,2,Corrientes,3.603
2016,2,Entre Ríos,5.644
2016,2,Formosa,2.74
2016,2,Jujuy,2.996
2016,2,La Pampa,7.189
2016,2,La Rioja,3.819
2016,2,Mendoza,6.96
2016,2,Misiones,3.373
2016,2,Neuquén,5.292
2016,2,Río Negro,6.477
2016,2,Salta,4.256
2016,2,San Juan,5.64
2016,2,San Luis,3.853
2016,2,Santa Cruz,4.523
2016,2,Santa Fe,6.891
2016,2,Santiago del Estero,2.838
2016,2,Tierra del Fuego,8.201
2016,2,Tucumán,5.265
2016,3,Buenos Aires,8.863
2016,3,Capital Federal,12.309
2016,3,Catamarca,3.805
2016,3,Chaco,3.323
2016,3,Chubut,6.658
2016,3,Córdoba,6.368
2016,3,Corrientes,3.598
2016,3,Entre Ríos,5.622
2016,3,Formosa,2.767
2016,3,Jujuy,2.998
2016,3,La Pampa,7.249
2016,3,La Rioja,3.821
2016,3,Mendoza,7.085
2016,3,Misiones,3.368
2016,3,Neuquén,5.422
2016,3,Río Negro,6.584
2016,3,Salta,4.257
2016,3,San Juan,5.892
2016,3,San Luis,3.884
2016,3,Santa Cruz,4.54
2016,3,Santa Fe,6.86
2016,3,Santiago del Estero,2.81
2016,3,Tierra del Fuego,8.327
2016,3,Tucumán,5.281
2016,4,Buenos Aires,9.008
2016,4,Capital Federal,12.525
2016,4,Catamarca,3.779
2016,4,Chaco,3.29
2016,4,Chubut,6.873
2016,4,Córdoba,6.35
2016,4,Corrientes,3.572
2016,4,Entre Ríos,5.569
2016,4,Formosa,2.754
2016,4,Jujuy,2.981
2016,4,La Pampa,7.281
2016,4,La Rioja,3.783
2016,4,Mendoza,7.128
2016,4,Misiones,3.494
2016,4,Neuquén,5.408
2016,4,Río Negro,6.639
2016,4,Salta,4.232
2016,4,San Juan,5.965
2016,4,San Luis,3.872
2016,4,Santa Cruz,4.762
2016,4,Santa Fe,6.873
2016,4,Santiago del Estero,2.757
2016,4,Tierra del Fuego,8.301
2016,4,Tucumán,5.265
2017,1,Buenos Aires,9.12
2017,1,Capital Federal,12.337
2017,1,Catamarca,3.805
2017,1,Chaco,3.316
2017,1,Chubut,6.967
2017,1,Córdoba,6.387
2017,1,Corrientes,3.597
2017,1,Entre Ríos,5.61
2017,1,Formosa,2.773
2017,1,Jujuy,3.007
2017,1,La Pampa,7.33
2017,1,La Rioja,3.823
2017,1,Mendoza,7.188
2017,1,Misiones,3.526
2017,1,Neuquén,5.466
2017,1,Río Negro,6.709
2017,1,Salta,4.275
2017,1,San Juan,6.016
2017,1,San Luis,3.911
2017,1,Santa Cruz,4.861
2017,1,Santa Fe,6.906
2017,1,Santiago del Estero,2.779
2017,1,Tierra del Fuego,8.469
2017,1,Tucumán,5.316
2017,2,Buenos Aires,9.158
2017,2,Capital Federal,12.127
2017,2,Catamarca,3.785
2017,2,Chaco,3.337
2017,2,Chubut,6.524
2017,2,Córdoba,6.375
2017,2,Corrientes,3.603
2017,2,Entre Ríos,5.644
2017,2,Formosa,2.74
2017,2,Jujuy,2.996
2017,2,La Pampa,7.189
2017,2,La Rioja,3.819
2017,2,Mendoza,6.96
2017,2,Misiones,3.373
2017,2,Neuquén,5.292
2017,2,Río Negro,6.477
2017,2,Salta,4.256
2017,2,San Juan,5.64
2017,2,San Luis,3.853
2017,2,Santa Cruz,4.523
2017,2,Santa Fe,6.891
2017,2,Santiago del Estero,2.838
2017,2,Tierra del Fuego,8.201
2017,2,Tucumán,5.265
2017,3,Buenos Aires,8.863
2017,3,Capital Federal,12.309
2017,3,Catamarca,3.805
2017,3,Chaco,3.323
2017,3,Chubut,6.658
2017,3,Córdoba,6.368
2017,3,Corrientes,3.598
2017,3,Entre Ríos,5.622
2017,3,Formosa,2.767
2017,3,Jujuy,2.998
2017,3,La Pampa,7.249
2017,3,La Rioja,3.821
2017,3,Mendoza,7.085
2017,3,Misiones,3.368
2017,3,Neuquén,5.422
2017,3,Río Negro,6.584
2017,3,Salta,4.257
2017,3,San Juan,5.892
2017,3,San Luis,3.884
2017,3,Santa Cruz,4.54
2017,3,Santa Fe,6.86
2017,3,Santiago del Estero,2.81
2017,3,Tierra del Fuego,8.327
2017,3,Tucumán,5.281
2017,4,Buenos Aires,9.008
2017,4,Capital Federal,12.525
2017,4,Catamarca,3.779
2017,4,Chaco,3.29
2017,4,Chubut,6.873
2017,4,Córdoba,6.35
2017,4,Corrientes,3.572
2017,4,Entre Ríos,5.569
2017,4,Formosa,2.754
2017,4,Jujuy,2.981
2017,4,La Pampa,7.281
2017,4,La Rioja,3.783
2017,4,Mendoza,7.128
2017,4,Misiones,3.494
2017,4,Neuquén,5.408
2017,4,Río Negro,6.639
2017,4,Salta,4.232
2017,4,San Juan,5.965
2017,4,San Luis,3.872
2017,4,Santa Cruz,4.762
2017,4,Santa Fe,6.873
2017,4,Santiago del Estero,2.757
2017,4,Tierra del Fuego,8.301
2017,4,Tucumán,5.265
2018,1,Buenos Aires,7.997
2018,1,Capital Federal,13.465
2018,1,Catamarca,3.707
2018,1,Chaco,3.15
2018,1,Chubut,6.25
2018,1,Córdoba,6.155
2018,1,Corrientes,3.444
2018,1,Entre Ríos,5.319
2018,1,Formosa,2.656
2018,1,Jujuy,2.827
2018,1,La Pampa,6.502
2018,1,La Rioja,3.543
2018,1,Mendoza,6.649
2018,1,Misiones,3.09
2018,1,Neuquén,5.072
2018,1,Río Negro,6.269
2018,1,Salta,4.003
2018,1,San Juan,5.937
2018,1,San Luis,3.138
2018,1,Santa Cruz,4.311
2018,1,Santa Fe,6.311
2018,1,Santiago del Estero,2.411
2018,1,Tierra del Fuego,6.883
2018,1,Tucumán,5.262
2018,2,Buenos Aires,8.031
2018,2,Capital Federal,13.561
2018,2,Catamarca,3.678
2018,2,Chaco,3.108
2018,2,Chubut,6.388
2018,2,Córdoba,6.068
2018,2,Corrientes,3.417
2018,2,Entre Ríos,5.257
2018,2,Formosa,2.625
2018,2,Jujuy,2.785
2018,2,La Pampa,6.525
2018,2,La Rioja,3.451
2018,2,Mendoza,6.632
2018,2,Misiones,3.221
2018,2,Neuquén,5.051
2018,2,Río Negro,6.245
2018,2,Salta,3.927
2018,2,San Juan,5.921
2018,2,San Luis,3.128
2018,2,Santa Cruz,4.288
2018,2,Santa Fe,6.264
2018,2,Santiago del Estero,2.323
2018,2,Tierra del Fuego,6.838
2018,2,Tucumán,5.234
2018,3,Buenos Aires,8.019
2018,3,Capital Federal,13.828
2018,3,Catamarca,3.643
2018,3,Chaco,2.899
2018,3,Chubut,6.359
2018,3,Córdoba,5.971
2018,3,Corrientes,3.265
2018,3,Entre Ríos,4.914
2018,3,Formosa,2.598
2018,3,Jujuy,2.747
2018,3,La Pampa,6.511
2018,3,La Rioja,3.379
2018,3,Mendoza,6.615
2018,3,Misiones,3.087
2018,3,Neuquén,5.034
2018,3,Río Negro,6.222
2018,3,Salta,3.845
2018,3,San Juan,5.904
2018,3,San Luis,3.117
2018,3,Santa Cruz,4.255
2018,3,Santa Fe,6.136
2018,3,Santiago del Estero,2.253
2018,3,Tierra del Fuego,6.795
2018,3,Tucumán,5.205
2018,4,Buenos Aires,8.098
2018,4,Capital Federal,13.667
2018,4,Catamarca,3.548
2018,4,Chaco,3.022
2018,4,Chubut,6.361
2018,4,Córdoba,5.923
2018,4,Corrientes,3.33
2018,4,Entre Ríos,5.079
2018,4,Formosa,2.546
2018,4,Jujuy,2.707
2018,4,La Pampa,6.562
2018,4,La Rioja,3.301
2018,4,Mendoza,6.601
2018,4,Misiones,3.089
2018,4,Neuquén,5.638
2018,4,Río Negro,6.201
2018,4,Salta,3.735
2018,4,San Juan,5.892
2018,4,San Luis,3.634
2018,4,Santa Cruz,4.235
2018,4,Santa Fe,6.351
2018,4,Santiago del Estero,3.105
2018,4,Tierra del Fuego,6.752
2018,4,Tucumán,5.107
2019,1,Buenos Aires,6.3
2019,1,Capital Federal,12.482
2019,1,Catamarca,3.464
2019,1,Chaco,2.95
2019,1,Chubut,4.784
2019,1,Córdoba,5.778
2019,1,Corrientes,3.259
2019,1,Entre Ríos,4.978
2019,1,Formosa,2.481
2019,1,Jujuy,2.668
2019,1,La Pampa,5.642
2019,1,La Rioja,3.189
2019,1,Mendoza,4.399
2019,1,Misiones,3.004
2019,1,Neuquén,4.299
2019,1,Río Negro,4.441
2019,1,Salta,3.623
2019,1,San Juan,4.379
2019,1,San Luis,2.999
2019,1,Santa Cruz,3.247
2019,1,Santa Fe,6.226
2019,1,Santiago del Estero,3.043
2019,1,Tierra del Fuego,5.062
2019,1,Tucumán,5.003
2019,2,Buenos Aires,4.988
2019,2,Capital Federal,8.903
2019,2,Catamarca,3.351
2019,2,Chaco,2.878
2019,2,Chubut,4.622
2019,2,Córdoba,5.66
2019,2,Corrientes,3.196
2019,2,Entre Ríos,4.88
2019,2,Formosa,2.409
2019,2,Jujuy,2.631
2019,2,La Pampa,5.52
2019,2,La Rioja,3.056
2019,2,Mendoza,4.235
2019,2,Misiones,2.927
2019,2,Neuquén,4.194
2019,2,Río Negro,4.271
2019,2,Salta,3.518
2019,2,San Juan,4.275
2019,2,San Luis,2.333
2019,2,Santa Cruz,3.114
2019,2,Santa Fe,6.087
2019,2,Santiago del Estero,2.977
2019,2,Tierra del Fuego,4.844
2019,2,Tucumán,4.863
2019,3,Buenos Aires,5.981
2019,3,Capital Federal,11.704
2019,3,Catamarca,3.115
2019,3,Chaco,2.765
2019,3,Chubut,4.484
2019,3,Córdoba,5.364
2019,3,Corrientes,3.111
2019,3,Entre Ríos,4.724
2019,3,Formosa,2.351
2019,3,Jujuy,2.566
2019,3,La Pampa,5.438
2019,3,La Rioja,2.852
2019,3,Mendoza,4.098
2019,3,Misiones,2.816
2019,3,Neuquén,4.109
2019,3,Río Negro,4.141
2019,3,Salta,3.331
2019,3,San Juan,4.181
2019,3,San Luis,2.728
2019,3,Santa Cruz,3.005
2019,3,Santa Fe,5.865
2019,3,Santiago del Estero,2.882
2019,3,Tierra del Fuego,4.992
2019,3,Tucumán,4.626
2019,4,Buenos Aires,5.841
2019,4,Capital Federal,11.569
2019,4,Catamarca,2.959
2019,4,Chaco,2.716
2019,4,Chubut,4.353
2019,4,Córdoba,5.213
2019,4,Corrientes,3.064
2019,4,Entre Ríos,4.646
2019,4,Formosa,2.304
2019,4,Jujuy,2.525
2019,4,La Pampa,6.07
2019,4,La Rioja,2.727
2019,4,Mendoza,3.96
2019,4,Misiones,2.747
2019,4,Neuquén,4.025
2019,4,Río Negro,3.992
2019,4,Salta,3.238
2019,4,San Juan,4.072
2019,4,San Luis,2.617
2019,4,Santa Cruz,2.836
2019,4,Santa Fe,5.805
2019,4,Santiago del Estero,2.834
2019,4,Tierra del Fuego,4.791
2019,4,Tucumán,4.495
2020,1,Buenos Aires,5.657
2020,1,Capital Federal,11.402
2020,1,Catamarca,2.823
2020,1,Chaco,2.619
2020,1,Chubut,4.17
2020,1,Córdoba,5.003
2020,1,Corrientes,2.978
2020,1,Entre Ríos,4.522
2020,1,Formosa,2.25
2020,1,Jujuy,2.443
2020,1,La Pampa,6.006
2020,1,La Rioja,2.596
2020,1,Mendoza,3.807
2020,1,Misiones,2.654
2020,1,Neuquén,3.937
2020,1,Río Negro,3.855
2020,1,Salta,3.129
2020,1,San Juan,3.959
2020,1,San Luis,2.508
2020,1,Santa Cruz,2.721
2020,1,Santa Fe,5.631
2020,1,Santiago del Estero,2.779
2020,1,Tierra del Fuego,4.618
2020,1,Tucumán,4.363
2020,2,Buenos Aires,4.294
2020,2,Capital Federal,7.444
2020,2,Catamarca,3.225
2020,2,Chaco,2.603
2020,2,Chubut,4.05
2020,2,Córdoba,4.844
2020,2,Corrientes,2.957
2020,2,Entre Ríos,4.428
2020,2,Formosa,2.284
2020,2,Jujuy,2.824
2020,2,La Pampa,5.983
2020,2,La Rioja,2.82
2020,2,Mendoza,3.673
2020,2,Misiones,2.573
2020,2,Neuquén,3.852
2020,2,Río Negro,3.837
2020,2,Salta,3.049
2020,2,San Juan,3.882
2020,2,San Luis,2.434
2020,2,Santa Cruz,2.593
2020,2,Santa Fe,5.51
2020,2,Santiago del Estero,2.757
2020,2,Tierra del Fuego,4.45
2020,2,Tucumán,4.36
2020,3,Buenos Aires,5.556
2020,3,Capital Federal,11.241
2020,3,Catamarca,3.175
2020,3,Chaco,2.56
2020,3,Chubut,3.834
2020,3,Córdoba,4.764
2020,3,Corrientes,2.922
2020,3,Entre Ríos,4.369
2020,3,Formosa,2.26
2020,3,Jujuy,2.346
2020,3,La Pampa,5.965
2020,3,La Rioja,2.801
2020,3,Mendoza,3.53
2020,3,Misiones,2.583
2020,3,Neuquén,3.76
2020,3,Río Negro,3.699
2020,3,Salta,2.984
2020,3,San Juan,3.754
2020,3,San Luis,2.362
2020,3,Santa Cruz,2.497
2020,3,Santa Fe,5.608
2020,3,Santiago del Estero,2.728
2020,3,Tierra del Fuego,4.179
2020,3,Tucumán,4.326
2020,4,Buenos Aires,5.528
2020,4,Capital Federal,11.179
2020,4,Catamarca,3.161
2020,4,Chaco,2.509
2020,4,Chubut,3.822
2020,4,Córdoba,4.628
2020,4,Corrientes,2.881
2020,4,Entre Ríos,4.303
2020,4,Formosa,2.204
2020,4,Jujuy,2.307
2020,4,La Pampa,5.96
2020,4,La Rioja,2.782
2020,4,Mendoza,3.521
2020,4,Misiones,2.485
2020,4,Neuquén,3.752
2020,4,Río Negro,3.656
2020,4,Salta,2.93
2020,4,San Juan,3.744
2020,4,San Luis,2.355
2020,4,Santa Cruz,2.478
2020,4,Santa Fe,5.31
2020,4,Santiago del Estero,2.721
2020,4,Tierra del Fuego,4.153
2020,4,Tucumán,4.299
2021,1,Buenos Aires,5.558
2021,1,Capital Federal,10.928
2021,1,Catamarca,2.524
2021,1,Chaco,2.363
2021,1,Chubut,3.872
2021,1,Córdoba,4.565
2021,1,Corrientes,2.679
2021,1,Entre Ríos,4.077
2021,1,Formosa,2.035
2021,1,Jujuy,2.187
2021,1,La Pampa,6.042
2021,1,La Rioja,2.325
2021,1,Mendoza,3.547
2021,1,Misiones,2.398
2021,1,Neuquén,3.78
2021,1,Río Negro,3.61
2021,1,Salta,2.801
2021,1,San Juan,3.774
2021,1,San Luis,2.377
2021,1,Santa Cruz,2.495
2021,1,Santa Fe,5.14
2021,1,Santiago del Estero,2.569
2021,1,Tierra del Fuego,4.23
2021,1,Tucumán,3.903
2021,2,Buenos Aires,4.131
2021,2,Capital Federal,6.668
2021,2,Catamarca,2.534
2021,2,Chaco,2.356
2021,2,Chubut,3.857
2021,2,Córdoba,4.349
2021,2,Corrientes,2.73
2021,2,Entre Ríos,4.07
2021,2,Formosa,2.086
2021,2,Jujuy,1.867
2021,2,La Pampa,6.042
2021,2,La Rioja,2.137
2021,2,Mendoza,3.533
2021,2,Misiones,2.367
2021,2,Neuquén,3.763
2021,2,Río Negro,3.66
2021,2,Salta,2.792
2021,2,San Juan,3.764
2021,2,San Luis,2.369
2021,2,Santa Cruz,2.484
2021,2,Santa Fe,4.996
2021,2,Santiago del Estero,2.426
2021,2,Tierra del Fuego,4.204
2021,2,Tucumán,3.337
2021,3,Buenos Aires,5.438
2021,3,Capital Federal,10.727
2021,3,Catamarca,2.332
2021,3,Chaco,2.288
2021,3,Chubut,3.841
2021,3,Córdoba,4.197
2021,3,Corrientes,2.641
2021,3,Entre Ríos,3.952
2021,3,Formosa,1.976
2021,3,Jujuy,1.78
2021,3,La Pampa,6.065
2021,3,La Rioja,2.059
2021,3,Mendoza,3.523
2021,3,Misiones,2.292
2021,3,Neuquén,3.746
2021,3,Río Negro,3.633
2021,3,Salta,2.714
2021,3,San Juan,3.754
2021,3,San Luis,2.362
2021,3,Santa Cruz,2.468
2021,3,Santa Fe,4.848
2021,3,Santiago del Estero,2.359
2021,3,Tierra del Fuego,4.179
2021,3,Tucumán,3.164
2021,4,Buenos Aires,5.667
2021,4,Capital Federal,11.299
2021,4,Catamarca,2.794
2021,4,Chaco,2.81
2021,4,Chubut,3.571
2021,4,Córdoba,5.049
2021,4,Corrientes,3.308
2021,4,Entre Ríos,4.989
2021,4,Formosa,2.356
2021,4,Jujuy,2.235
2021,4,La Pampa,6.055
2021,4,La Rioja,2.541
2021,4,Mendoza,3.667
2021,4,Misiones,2.858
2021,4,Neuquén,3.655
2021,4,Río Negro,3.733
2021,4,Salta,3.469
2021,4,San Juan,3.334
2021,4,San Luis,2.258
2021,4,Santa Cruz,2.523
2021,4,Santa Fe,5.879
2021,4,Santiago del Estero,2.734
2021,4,Tierra del Fuego,3.646
2021,4,Tucumán,3.928
2022,1,Buenos Aires,5.312
2022,1,Capital Federal,11.215
2022,1,Catamarca,2.862
2022,1,Chaco,2.643
2022,1,Chubut,3.239
2022,1,Córdoba,5.043
2022,1,Corrientes,3.022
2022,1,Entre Ríos,4.59
2022,1,Formosa,2.202
2022,1,Jujuy,2.479
2022,1,La Pampa,5.827
2022,1,La Rioja,2.635
2022,1,Mendoza,2.956
2022,1,Misiones,2.668
2022,1,Neuquén,3.345
2022,1,Río Negro,3.117
2022,1,Salta,3.174
2022,1,San Juan,3.165
2022,1,San Luis,2.076
2022,1,Santa Cruz,2.202
2022,1,Santa Fe,5.667
2022,1,Santiago del Estero,2.79
2022,1,Tierra del Fuego,3.523
2022,1,Tucumán,4.423
2022,2,Buenos Aires,3.929
2022,2,Capital Federal,7.915
2022,2,Catamarca,2.569
2022,2,Chaco,2.117
2022,2,Chubut,3.099
2022,2,Córdoba,4.223
2022,2,Corrientes,3.078
2022,2,Entre Ríos,3.905
2022,2,Formosa,2.28
2022,2,Jujuy,1.903
2022,2,La Pampa,5.774
2022,2,La Rioja,2.515
2022,2,Mendoza,2.483
2022,2,Misiones,2.231
2022,2,Neuquén,3.588
2022,2,Río Negro,2.855
2022,2,Salta,2.608
2022,2,San Juan,3.047
2022,2,San Luis,1.746
2022,2,Santa Cruz,2.131
2022,2,Santa Fe,4.596
2022,2,Santiago del Estero,2.59
2022,2,Tierra del Fuego,3.726
2022,2,Tucumán,4.025
2022,3,Buenos Aires,5.356
2022,3,Capital Federal,12.3
2022,3,Catamarca,2.423
2022,3,Chaco,2.033
2022,3,Chubut,3.085
2022,3,Córdoba,4.222
2022,3,Corrientes,3.044
2022,3,Entre Ríos,3.788
2022,3,Formosa,2.286
2022,3,Jujuy,1.823
2022,3,La Pampa,5.599
2022,3,La Rioja,2.424
2022,3,Mendoza,2.489
2022,3,Misiones,2.226
2022,3,Neuquén,3.689
2022,3,Río Negro,2.826
2022,3,Salta,2.539
2022,3,San Juan,3.039
2022,3,San Luis,1.741
2022,3,Santa Cruz,2.087
2022,3,Santa Fe,4.47
2022,3,Santiago del Estero,2.575
2022,3,Tierra del Fuego,3.704
2022,3,Tucumán,3.894
2022,4,Buenos Aires,5.35
2022,4,Capital Federal,12.273
2022,4,Catamarca,2.365
2022,4,Chaco,2.001
2022,4,Chubut,2.84
2022,4,Córdoba,4.282
2022,4,Corrientes,3.006
2022,4,Entre Ríos,3.85
2022,4,Formosa,2.277
2022,4,Jujuy,1.801
2022,4,La Pampa,5.599
2022,4,La Rioja,2.429
2022,4,Mendoza,2.921
2022,4,Misiones,2.212
2022,4,Neuquén,3.457
2022,4,Río Negro,2.914
2022,4,Salta,2.491
2022,4,San Juan,2.642
2022,4,San Luis,1.895
2022,4,Santa Cruz,2.091
2022,4,Santa Fe,4.397
2022,4,Santiago del Estero,2.662
2022,4,Tierra del Fuego,2.856
2022,4,Tucumán,3.86
